"No,Pertanyaan,Fase,Sub-Tag"
"252,Would you rather: Kita selalu liburan berdua aja tiap tahun atau selalu open house kumpulin keluarga besar di rumah tiap libur?,Menikah,Random"
"253,Apa kebiasaan baruku setelah nikah yang mengejutkan tapi kamu suka?,Menikah,Deep"
"254,Kalau kita harus bikin bucket list untuk dilakukan sebelum umur 60 apa nomor satunya?,Menikah,Deep"
"255,What if tetangga sebelah rumah berisik banget tiap malam siapa yang bakal maju buat negur?,Menikah,Random"
"256,Menurutmu apakah ekspektasi kita soal pernikahan sebelum nikah dan setelah nikah jauh beda?,Menikah,Deep"
"257,Hal apa yang paling kamu khawatirkan kalau kita lagi beda pendapat dan diem-dieman?,Menikah,Deep"
"258,Would you rather: Punya anak banyak tapi rezekinya pas-pasan atau childfree tapi kaya raya bisa keliling dunia?,Menikah,Deep"
"259,Kalau aku tiba-tiba pengen adopsi anak anjing padahal kita udah punya kucing apa reaksi pertamamu?,Menikah,Random"
"260,Apa hal yang pengen kamu lakukan buat aku tapi belum kesampaian karena terhalang waktu/uang?,Menikah,Deep"
"261,Menurutmu apa kunci biar kita nggak jadi teman sekamar doang kalau udah kelamaan nikah?,Menikah,Deep"
"262,Kalau kita bikin kejuaraan lomba rumah tangga kamu bakal dapet medali emas di cabang olahraga apa?,Menikah,Fun"
"263,What if kita di-PHK barengan bulan depan apa contingency plan pertama kita?,Menikah,Deep"
"264,Sebutkan satu momen di mana kamu merasa aku bener-bener jadi pelindung/penjagamu!,Menikah,Deep"
"265,Apa hal yang paling bikin kamu lega pas pulang ke rumah dan lihat mukaku?,Menikah,Deep"
"266,Would you rather: Menghabiskan akhir pekan beres-beres rumah besar sendirian atau tinggal di apartemen studio mungil berdua dempet-dempetan?,Menikah,Random"
"267,Kalau kita dapet voucer spa gratis buat berdua kamu milih pijat tradisional atau perawatan wajah eksklusif?,Menikah,Fun"
"268,Apa hal yang paling pengen kamu denger dari aku pas kamu lagi overwhelmed sama tanggung jawab?,Menikah,Deep"
"269,Kalau hari ini adalah hari terakhirku apa pesan terakhir yang bakal kamu bacain buat aku?,Menikah,Deep"
"270,What if kita mendadak viral di sosmed karena hal lucu menurutmu videonya tentang apa?,Menikah,Random"
"271,Dari skala 1-10 seberapa jago kita nyembunyiin masalah rumah tangga dari mertua?,Menikah,Random"
"272,Apa pelajaran hidup paling berharga yang kita dapat setelah resmi serumah?,Menikah,Deep"
"273,Would you rather: Kita selalu ngantuk jam 8 malam atau selalu melek sampai jam 3 pagi berdua?,Menikah,Random"
"274,Kalau kita harus buka bisnis sampingan bareng demi nambah tabungan kita jualan apa?,Menikah,Fun"
"275,Menurutmu tradisi pillow talk kita masih kurang deep atau udah pas porsinya?,Menikah,Deep"
"276,Apa hal yang diam-diam kamu pelajari dari caraku menghadapi masalah keluarga?,Menikah,Deep"
"277,What if suatu hari nanti aku minta izin potong rambut super ekstrem bakal kamu bolehin nggak?,Menikah,Random"
"278,Kalau kita harus pindah agama/kepercayaan (hipotetis aja) seberapa besar debat yang bakal terjadi?,Menikah,Deep"
"279,Hal apa dari orang tuaku yang bersyukur banget nggak nurun ke aku?,Menikah,Deep"
"280,Would you rather: Tukeran peran (aku kerja kamu ngurus rumah/sebaliknya) selama sebulan atau tetap sama tapi load-nya digandakan?,Menikah,Random"
"281,Apa harapan terdalammu soal gimana kita saling merawat kalau salah satu dari kita sakit keras?,Menikah,Deep"
"282,Kalau ada hari Bebas Ngomel Nasional di rumah kita kira-kira rumah bakal sekacau apa?,Menikah,Fun"
"283,What if kita disuruh mengulang hari pernikahan kita ada detail yang mau diubah nggak?,Menikah,Deep"
"284,Menurutmu cinta kita lebih kuat pas lagi senang-senang liburan atau pas lagi pusing bayar cicilan?,Menikah,Deep"
"285,Sebutkan satu momen ngakak parah kita di kasur sebelum tidur?,Menikah,Fun"
"286,Kalau kamu disuruh nulis review tentang aku di aplikasi kencan pasca-nikah apa rating dan ulasannya?,Menikah,Fun"
"287,Would you rather: Selalu lupa naruh kunci rumah atau selalu lupa nyalain alarm pagi?,Menikah,Random"
"288,Apa ketakutan yang kamu punya tentang aku yang semakin bertambah umur?,Menikah,Deep"
"289,Kalau kita punya safeword pas lagi berantem biar langsung berhenti dan pelukan kata apa yang pas?,Menikah,Random"
"290,What if anak kita nanti protes soal cara kita mendidik siapa yang bakal lebih defensive?,Menikah,Deep"
"291,Hal apa yang sering aku ingetin ke kamu berkali-kali sampai rasanya kayak kaset rusak?,Menikah,Fun"
"292,Menurutmu apakah kita udah jadi contoh pasangan yang baik buat orang-orang di sekitar kita?,Menikah,Deep"
"293,Would you rather: Rumah mewah tapi di lingkungan julid atau rumah sederhana di lingkungan super supportive?,Menikah,Random"
"294,Kalau kita dikasih libur tambahan besok tanpa rencana apa-apa skenario paling real kita bakal ngapain?,Menikah,Fun"
"295,Apa hal kecil yang selalu sukses bikin kamu jatuh cinta lagi sama aku walau lagi capek?,Menikah,Deep"
"296,What if di masa tua nanti aku nyuruh kamu temenin aku nyelesain game sampai tamat kamu mau?,Menikah,Random"
"297,Kalau disuruh mendeskripsikan aroma tubuhku pas bangun tidur mirip apa?,Menikah,Fun"
"298,Apa investasi non-materi terbaik yang udah kita lakukan buat pernikahan ini?,Menikah,Deep"
"299,Menurutmu apa kalimat penutup paling perfect sebelum kita tidur tiap malam?,Menikah,Deep"
"300,Setelah semua obrolan ini apa satu janji yang mau kita buat bareng-bareng hari ini?,Menikah,Deep"
